noun,score_by_females,sd_by_females,score_by_males,sd_by_males,is_occupation,frequency
protestor,4.25,0.91,3.9,0.97,False,-7.0306618459228485
psychiatrist,3.85,0.59,4.25,1.25,True,-5.467679853422694
public relations director,3.55,1.23,3.95,1.23,True,-7.50226856323196
quilter,1.75,0.79,1.65,0.59,True,-7.311556993042572
race car driver,6.25,0.72,6.15,0.93,True,-7.382754693745315
radio announcer,4.8,0.95,5.5,0.89,True,-7.130407186423404
radio technician,4.85,0.99,4.9,0.97,True,-8.136811331064793
railroad conductor,6.0,1.03,6.2,0.7,True,-8.04458370729145
rancher,5.65,0.75,5.6,1.05,True,-6.093712585666278
rape victim,1.6,0.94,1.2,0.41,False,-6.830526820389008
rapist,5.25,2.07,6.8,0.41,False,-6.124036363908383
real estate agent,3.25,0.85,3.45,0.94,True,-6.366328994671873
receptionist,2.15,0.88,1.75,0.79,True,-5.70727070008612
registered nurse,2.2,1.11,2.35,1.14,True,-6.315077005129895
rehabilitation counselor,3.55,1.05,4.0,1.03,True,-7.395499447492158
reporter,3.6,0.75,3.5,1.1,True,-5.029173684033065
research scientist,4.6,0.99,4.95,1.1,True,-6.781976752083246
rock band groupie,2.95,1.36,3.55,1.93,False,-9.7303061022151
rock band roadie,4.5,1.93,4.6,2.04,True,-10.1304595076978
romance novelist,2.1,1.02,2.9,1.02,True,-7.9994155819639
roofer,6.45,0.69,6.3,0.57,True,-7.152702410657109
sailor,6.25,0.85,6.2,0.83,True,-5.440023815793202
salesman,5.55,0.94,5.3,1.42,True,-5.636477453818068
salesperson,4.45,0.94,4.3,1.38,True,-5.77414462599266
sanitation worker,5.55,1.19,5.4,1.14,True,-7.913092474590982
school psychologist,3.4,1.27,3.5,0.83,True,-6.789605122349967
screenwriter,4.75,0.97,5.2,0.95,True,-6.257447513431317
scuba diver,4.6,0.94,4.65,0.81,True,-7.388378584129286
sculptor,4.4,0.99,4.55,0.76,True,-5.688949408329222
secretary,1.85,0.75,1.8,0.77,True,-4.735400689580458
senator,5.55,1.05,5.55,1.23,True,-5.423673592387201
serial killer,5.65,1.09,6.5,0.51,False,-6.126231821006237
server,3.75,0.72,3.55,1.28,True,-4.614966714217635
sheriff,6.35,0.67,6.1,0.79,True,-5.162122296495232
shoemaker,5.15,0.67,5.05,1.0,True,-6.285011674463008
shooter,5.75,1.02,5.75,1.29,False,-5.810287278814023
shop lifter,4.5,1.05,4.9,0.91,False,-9.331382579522414
shopper,2.25,0.97,2.55,1.28,False,-6.23388988222305
short order cook,4.35,0.93,4.3,1.22,True,-8.075983908233837
singer,3.75,0.55,4.0,0.32,True,-5.171724515504716
single parent,2.15,1.14,1.95,0.94,False,-6.303159171551047
skier,4.2,0.52,4.1,0.91,True,-6.425084529883652
smuggler,6.0,0.79,6.1,0.97,False,-6.412949707822022
soap opera fan,1.65,0.81,1.55,0.6,False,-8.978807065813807
social worker,2.7,0.8,3.45,0.94,True,-5.574224005260921
socialite,3.35,1.23,3.75,0.97,False,-6.588529148935233
softball player,1.5,0.69,2.85,1.53,True,-7.91837157474919
soldier,6.15,0.88,6.21,1.03,True,-4.747670912653402
sportscaster,5.65,0.93,6.35,0.59,True,-7.167249718432434
spy,5.35,1.27,5.55,1.39,True,-5.285322282941511
statistician,4.65,0.93,4.6,1.19,True,-6.351460735653643
stenographer,4.15,1.46,4.15,1.35,True,-6.546710671037421
stock broker,5.55,1.05,5.2,1.01,True,-7.416299889973458
stone cutter,5.9,0.97,5.75,1.25,True,-8.025008047830315
stripper,2.3,1.17,2.1,1.33,True,-6.214778341231687
student,4.0,0.0,4.05,0.51,False,-4.097662333645321
sunbather,1.95,0.76,1.95,0.83,False,-7.951286218611214
supervisor,4.4,0.75,5.0,0.97,True,-5.05103679970042
Supreme Court Justice,5.0,1.08,5.55,1.15,True,-6.575185621648804
surfer,5.65,0.93,5.35,1.27,True,-6.293230056996147
surgeon,4.9,1.07,5.25,1.12,True,-5.085976793065003
suspect,4.95,1.0,5.0,1.08,False,-4.755096262053104
swimmer,3.9,0.55,4.05,1.0,True,-5.991188594429979
switchboard operator,3.15,1.04,3.25,1.41,True,-7.343374157563447
synchronized swimmer,2.6,1.1,2.0,0.97,True,-8.70988560480643
systems analyst,4.6,1.1,4.9,0.85,True,-7.014531278767348
tailor,4.8,1.74,5.25,1.55,True,-5.506345479774057
tambourine player,4.1,1.55,3.6,1.05,True,-8.546844058952649
tap dancer,2.35,1.18,2.95,1.28,True,-7.603047502086391
tarot card reader,2.75,1.29,2.1,0.91,True,-8.221242628509085
tattooist,6.05,1.0,6.0,0.92,True,-7.4552507167979325
taxidermist,5.1,1.07,5.47,1.17,True,-7.000216278330254
teenager,4.0,0.32,4.1,0.31,False,-5.327984859410804
telephone operator,2.85,1.04,2.7,0.92,True,-7.045696599422476
tennis player,3.85,0.75,3.9,0.85,True,-6.63605450081505
theatrical director,4.4,1.39,4.7,1.63,True,-8.063685605330425
thief,5.15,0.75,5.1,1.07,False,-5.324937484053802
toddler,4.0,0.0,4.05,0.39,False,-5.6416414008656695
tool maker,6.15,0.88,6.3,0.98,True,-8.000187572948953
tour guide,4.0,0.79,3.95,1.0,True,-6.355135953193835
travel agent,3.25,1.41,2.95,1.23,True,-6.3740070351835865
trucker,6.4,0.88,6.15,0.88,True,-6.57132115159348
trumpet player,4.65,1.14,4.95,0.94,True,-7.097319605424226
tuba player,5.35,1.14,5.5,1.19,True,-7.868426068445307
typist,2.95,0.83,2.47,1.12,True,-6.481197863492998
university president,5.3,1.17,5.55,1.32,True,-6.978266799098949
veterinarian,4.05,1.1,3.65,1.39,True,-5.8588509186254845
victim,2.95,1.0,2.95,1.1,False,-4.555597824047334
waiter,5.1,1.68,5.95,1.43,True,-5.365398464365735
waitress,1.35,0.93,1.4,0.88,True,-5.497164642270117
warden,6.1,0.85,6.3,0.66,True,-5.827715569535664
watchman,6.0,0.79,5.75,0.97,True,-6.061606849962081
weaver,2.5,0.89,2.1,1.17,True,-6.081392777150518
wedding planner,1.75,0.72,2.2,1.01,True,-7.06396947419666
weight lifter,6.2,0.89,6.05,1.05,True,-7.463985583234089
welder,6.1,0.79,6.35,0.88,True,-6.487008272625385
well driller,6.35,0.67,6.45,0.6,True,-7.985849650512581
wood carver,5.8,1.11,5.7,0.92,True,-7.819351080056453
wood worker,6.0,0.92,5.6,0.99,True,-8.467395926355307
wrestler,6.45,0.76,6.7,0.57,True,-6.236078266635321
writer,4.25,0.97,4.05,0.39,True,-4.500036517379665
x-ray technician,4.25,1.16,4.25,0.85,True,-8.099722130941622
youngster,4.2,0.52,4.35,0.93,False,-5.862718215955306
zoologist,4.3,0.98,4.2,1.11,True,-6.656606670850142
